id,Description,Sentiment,
50,"Slight micro scratch on the screen, but overall good condition for an open box",Positive,
51,"It came in perfect condition, no scratches, nothing was wrong. The battery life was at 100 percent. I had no complaints. One thing I noticed was that the app snapchat is glitchy on the phone. If you try to edit something for your story it just discards it after 30 seconds. Other than that, it didn't come with earphones. As most people know the Iphone 11 has no headphone jack. So it's crucial that when we buy these phones we should get everything like new. Also, the charger is probably only a foot long. I like to play games or change my music while i'm laying down. I can't do that because the charger is so short. Last but not least, when you get the phone, the instructions are horrible. It tells you to download an app and what not, that just glitches your phone. Don't do it. Instead look up a video online on how to insert a sim card into an Iphone. From there, when you turn on the phone it will have instructions set up from apple. Do not! I repeat do not! Use the instructions provided. If you are switching from android to apple, it will take you longer to set up your phone because you need an apple ID. Also, you need to save your contacts, and write them down. Even after saving all my contacts to my sim card, when I inserted it, none were there. So it's crucial to remember your contacts.",Positive,
52,"Certified. Refurbished. Quality Controlled. 70-point inspection.
All indicators that you better insure any and every product purchased under the brand BuySpry because as the name suggests it will break quickly. Hopefully you are one of the lucky ones that buy second hand and receives a product that functions and lasts. You have no assurance or guarantee, just a wish. Be very careful within initial return period (most often 30 days) as any even small issue needs to be addressed. That issue, whatever it may be will prove fatal in due time. It is almost as if devices are programmed to break after 30 days. In my personal case, the iPhone I purchased after a week of normal use suffered critical issue. Customer service did not respond to the most recent message from me via email. After speaking to them on phone they stated resolution would be a refund. Do you have a back up device? I hope so. In the lucky case of an exchange (which I pushed for) brace yourself for longer than promised times to receive new product. There is a chance this turns into groundhog day but I hope you receive a working product that endures.
Overall enterprise and business solution, would be to place more in reserves for replacement and increase service ability to send new product with promissory of receiving broken product. Filling this void, keeping customers whole while resolving issue. Leaving customers a loaner device would increase their reputation, making them the tallest in a room of short people but hey, you would purchase with confidence under that premise right? Do not buy from this organization if you plan to gift. Please do your loved one a favor and keep BUYSRY's mediocre business and risk to yourself. Just buy her something new you cheapskate! Good luck and stay healthy.",Negative,
53,"Got my phone in two days rather than five standard shipping days! I was happy it came sooner than expected! I was nervous about ordering a renewed phone online because I didn�t want to spend $700 on a phone not knowing if it was damaged or not, but I�m happy to say it came like brand new with no dents or scratches!! I�m so happy I made this choice because it saved me almost $300 from ordering on the apple website. Would definitely take the chance if your looking to buy the phone from them. The phone came in a different box with just a charger, FYI.",Positive,
54,"The lock screen is flickering and getting blurry .. everything else seems to be fine , I tried to restart it again but it�s not working",Negative,
55,"This review is based on the renewed status of the phone and not of the iPhone itself. I had previously purchased a renewed Galaxy phone from Amazon and the phone was practically new for a small fraction of the price and it came with the original box and accessories. I thought it'd be worth it to save $100 or more since my last experience went so well. Unfortunately, the iPhone I received was very visibly used with scratches littering both sides of the phone, but without deep cracks to the screen. The battery's health was on the lower side. The phone also came in a generic box with generic accessories, which was to be expected since it is in the item description, but when you look at what you get for the renewed price it seems like a poor deal. Thankfully Amazon has a longer return period if the phone doesn't work out for you, but I only needed a few minutes with the phone to know that I'd rather buy a new phone from Apple for $100 more.",Negative,
56,I only dislike that I didn�t receive headphones with the order. Everything else was on point,Positive,
57,I received a phone that had a crack in the screen which wasn�t that big of a deal but the something was off with camera though compared it my boyfriends phone who ordered the same one from Apple and I think it was replaced with a different one and the biggest problem with the phone was that it�s kept restarting I thought maybe I was doing it by accident but no it would turn off while I didn�t have it my hand but using my AirPods . I also had problems trying the return the phone as the shipping label they sent roundly be taken by fedex and I had to pay myself all around you�d be better off buying new phone from Apple it ended up being cheaper .all around I paid $780 for the phone unlocked from Apple don�t waste your money,Negative,
58,"I�m pleasantly surprised with this transaction. I�m a true skeptic and regularly conduct extensive research when making this type of purchase. The phone doesn�t come in original packaging and the cord and wall adapter are definitely not Apple products. The usb connection on the wall adapter had was bent and i could not slide the usb into the adapter....that was tossed into the trash. With that said, the product I care most about was the phone itself and it is exactly as advertised. It stared right up and went through start up process. My entire phone was transferred within an hour and I was on my way. I�ve been using it for about 4 days now and the battery life is strong and all the features work perfectly (no sticky buttons, etc). I would definitely recommend this vendor if you only care about getting the iPhone as it�s supposed to be. If you�re concerned about packaging and having a �uniquely� Apple experience, you may want to pay the additional $400 at the Apple store.",Positive,
59,"Not gonna lie, after reading some of the reviews, I was a little hesitant to buy a Renewed phone, but in the end I'm super glad I did it! My phone came a day earlier than I expected, was nicely packaged, and already had a screen protector applied (no bubbles!). Set up and transfer from my old 6+ was simple. Got my apple watch transferred over. Cameras all work great, face ID has no issues so far, etc. Obviously it's been less than a day, but so far, so good!",Positive,
60,"Not gonna lie i was a little skeptical at first, im like dang did i really spend that much money on this what if its a scam? but im more than happy with the results. Battery health is on 100, phone is in perfect condition, came with new charger (no headphones tho), and there was no trouble transferring data from my old phone to the new one. I didnt even need to call my carrier to turn on the phone, just simply placed my sim card in. Definitely recommend this (if you dont mind the price lol).",Positive,
61,"The phone came in with scratches on it but after I put the screen protector on you can�t see it and whenever you put the screen protector on it�s gone have some like bubbles I put it on over and over and the bubbles seems to not go away but, overall it�s good I guess it doesn�t have YouTube but I�m satisfied I guess but, the price should�ve been lower than this since it�s refurbished and still come in the mail kinda mess up. The face recognition works fine battery was fine the setup was good only took 5 mins.",Neutral,
62,Cheapest iPhone 11 with 128gb that I could find online and I did ALOT of searching. Great buy! Love my new phone and the camera quality is amazing,Positive,
63,It�s refurbish but I got all brand new (apple box with original charger but missing the ear plug),Positive,
64,The phone came in great condition. It works great! No lag! No issues! The battery life is great as well. I�m happy with the quality of the phone. I�m happy with my purchase! :),Positive,
65,The product came in a timely fashion. I like that it came with a charger no headset though charger not original but can�t complain for the price you are paying great deal and the phone is great condition,Positive,
66,"Honesty is greatly appreciated these days. They delivered exactly what they promised: The phone arrived timely and it looked brand new. Everything worked smoothly as I expected. Unfortunately, I wasn't very thrilled about the phone size because I have always liked larger phones, so I contacted the seller for a refund. They kindly instructed me as to how to return the item in order to get a full refund back on my card. So far, so good. No complaints and I would definitely do business with these people again.",Positive,
67,I paid $ 720 but the screen was scratched. Should not be bought at this shop.,Negative,
68,"I was a bit skeptical about buying an iPhone renewed off amazon instead of new but my worries were soon gone after the iPhone came in without any damages and at 100% battery health. Besides not getting the official iPhone box with the earphones, I still received a working charger/power adapter & a screen protector installed on the iPhone already. Very satisfied with my purchase.",Positive,
69,Not user friendly. I might have to return it. I have to learn how to clean it before I send it back as it loaded my pictures from my other phone.,Negative,
70,"Just got my iPhone 11 today and I was so anxious of using it but had to wait 2 hours for everything to set up. After that a message popped up saying that my phone screen may not be genuine so I freaked out because it supposed to be all ortigal? Right well apparently the screen is not authentic at all... hope my review and evidence works to y�all. I scanned my phone with a program called 3utools, hope it works.",Neutral,
71,"So I gave the phone another chance after it kept glitching on me but it�s definitely a no. The phone already came cracked on the side where the lock button is, I guess that�s why the phone won�t power off for me to complete the activation. Second after finally getting the phone to activate after letting it die out for a day because you have to turn a phone off & on for proper activation it finally started to work. I had gotten a screen protector & phone case for this iPhone 11 all for it not to work. After four days of having the phone i could no longer have a conversation on the phone. I could answer the phone & people could hear me but I couldn�t hear them, Then shortly after being on the phone it would hang up & say call failed. When I was on FaceTime the front camera was glitching on the video. I�ve had enough of this phone. Called straight talk this morning to have my minutes transferred to my other phone, will be taking my screen protector & case off && taking my new sims card out to return this phone TODAY for a full refund. This is my second time purchasing a phone from Amazon & BOTH times the phones were defects or glitches how you wanna say. I will NOT be ordering anymore phones online again. First time shame on you, second time shame on me & there will NOT BE A THIRD. People please read these reviews carefully because the person selling you the phone do NOT care. They fix these phones that�s broke & try to sell them thinking they�ve found a dummy because most won�t return the phone but I had a little time today & will have more when I get my refund today. I�ll give the phone one star because the phone takes nice back pictures but THATS IT.",Negative,
72,All they did was replace the glass. The sides of the phone are all scratched up not refurbished at all and the cables included are all aftermarket... not really pleased with the way the phone looks at all. Do yourself a favor and spend the extra money for a new one.,Negative,
73,The Face ID do not work I tried everything to fix it In wouldn�t buy from dis seller again,Negative,
74,"I had been looking at Amazon renewed iPhones for a couple of weeks but was skeptical about ordering a renewed phone. I decided on an iPhone XR and saw this iPhone 11 for about $30 more and put it in my cart and procrastinated ordering it for a couple of hours partly because there were no reviews at the time. I decided to go for it since it could be sent back. I checked the tracking info the day it was suppose to be delivered and saw the review posted the day before and became very concerned I had made a bad decision and was prepared for disappointment when it arrived. The battery was completely dead and when I put it on the charger it didn�t look like it was charging at all and that concerned me but after 30 minutes it had enough battery to power on. I haven�t had any issues so far, and it�s just as good as if I had bought it brand new. There are no cosmetic flaws anywhere on it. Very pleased with it so far!",Positive,
75,"Received phone. It looked good, then after charging it overnight the screen was a jumble of blurred vertical lines. Amazon insisted we had to deal with the seller. Could not clear the phone as the screen didn�t work. Communication from the seller was scripted, they never really answer your questions. Sent phone back to seller. They refunded 1% and kept 99% as a restocking fee! Then we had to force Amazon to deal with it to get a full refund. Horrible seller, buyer beware!!!",Negative,
76,It was perfect! Even had a screen protector on it,Positive,
77," ** Edit **
The seller provided a copy of the report showing all components were OEM, so it was simply an oversight on the Quality Control of the reseller - which is understandable, since it was only noticed upon angled inspection.

*****

This phone actually looked amazing - barely any scratches on the case and the screen appeared wonderful.... UNTIL it's held at an angle. See video clip of how rippled / warbled the screen was - obviously a non-OEM quality replacement job. And likely a poorly completed job by the seller.

when applying screen protector(s) it became horribly noticeable - the protector couldn't fully adhere, leaving bubbles that couldn't rub out because the underlying screen wasn't smooth. Disaster - waste of 2 protectors.

Sad part - this was our 2nd refurb phone, the first had the original glass - but was pretty scratched up. Not worth $500 as a refurb. Returned, purchased from a different seller. Lesson learned - just spend $50 more and buy it new from Apple.com",Neutral,
78,"i desperately needed a new phone. my phone was starting to give out not only because my old phone was outdated (iPhone 7+), but it was starting to have so many problems. trust me, i did so much research and looking up what type of new phone i should get. i looked for months on end while my old phone was still in good condition. the iPhone 11 was honestly the best purchase i got, it�s so new and improved that i don�t ever wanna switch back to Samsung. i�ve gotten used to the no home button that when i first got it, i didn�t know how to use it

best part was that i got the iPhone 11 unlocked and it works with my straight talk so i�m pretty pumped about that.

thank you!!",Positive,
79,"The iPhone 11 my son bought from BuySPRY technically works in the sense of being a very expensive digital camera and ipod, but not as a phone. In august, we were contacted by our phone service provider Xfinity Mobile who said the phone was flagged for being from Asia, possibly counterfeit, and therefore unusable on their system. Checking with Verizon, ATT, and T-Mobile with IMEI, the answer was the same - nobody wants this phone on their system. We contact BuySPRY who asked for the IMEI, which I immediately sent, and they have ghosted us since. We are now out of the return window, and my son has wasted his money.",Negative,
80,"If there was a way to leave a 0 star, I would. I got the phone in the mail, super excited to get it up and running, and it wouldn't turn on. I called Apple and was on a call with them for 30 mins and they couldn't help me get the phone on either. Needless to say, I'll be returning the phone without even getting a chance to use it.",Negative,
81,"All is great with the phone! Came in two days. It was a great upgrade from my 8 plus, very adorable and was delivered to my door in two days conveniently instead of waiting in a Apple store like usual! Will buy again from amazon.",Positive,
82,"Keep in mind these items are refurbished, which means someone else has had them - it may have a screen cover or already have knicks and chips. Based on my experience - there's a huge chance it could have been opened and repaired. If the phone was opened and the water resistant seal wasn't sealed correctly - you may lose the water resistant rating that these phones should have. There's a small chance of that happening, but it could still happen. Good thing - you have an extended 90 day return policy when it comes to Amazon refurbished returns.

If Amazon offered unlocked, new phones - I would go that route - unfortunately they don't.",Neutral,
83,"I received the purple iPhone 11 in perfect shape! No scratches or cracks, it�s beautiful! Upgraded from the iPhone 7 Plus and this has been a wonderful transition. Easy to transfer info from iPhone to iPhone, too. Quick shipping, received a day early! Would not hesitate to buy used from them again!!",Positive,
84,"Phone doesn�t work on the providers they say it will. I really wish I�d paid attention to the 1-star ratings before I bought it.

Pros: the phone is in great condition and it works well

Cons: It�s not really unlocked � or its some weird hardware configuration. It won�t connect to the providers they said it would. I was on a Verizon network and bought the phone so I could switch to sprint. It didn�t work on sprint. I contacted the seller�s support, and they gave me lots of things to try. I tried them long enough for the return window to pass. Then they basically said, too bad for me.

If I had it to do again, I�d spend a little more and get something that works properly. Or just returned the phone and got another.",Negative,
85,It�s in perfect condition. Arrived with charging cable. No earphones but the description said it didn�t include them. Great purchase and currently using it to write this review.,Positive,
86,"Phone was in great condition except the screen. Screen has noticeable damage and deep scratches. Wasn�t included in description, and def not worth the full price of phone. Overall I rather not send it back so I guess I�m dealing w it.",Positive,
87,it seemed like new the thing I didn�t like is was it wasn�t in its original boxing didn�t even last three months and the screen started bugging out since it�s refurbished and the seller won�t help me by swapping it or giving you a refund. I�m mad and upset 700$ for a busted iPhone 11 what a rip off:( don�t buy this product as it�s just a broken phone. Better off buying a new one. They won�t even swap or anything. Like I just want a full refund n to send it back:( very unpleasant,Negative,
88,"Excellent shape, looks brand new and battery health is at 100%. Came perfectly padded with charging cord and wall charger. This was a great buy, doesn�t seem �renewed� at all, appears new.",Positive,
89,"I had to send my first phone back as there was a scratched area on the screen about the size of a quarter. Called Amazon and got replacement ordered right away no problem with Amazon Renewed guarantee.

Second iPhone comes and literally the same scratched area on this one too. If I didn�t know better, I would have thought they were the same phone based on the scratched area. I decided to put on a screen protector and see if that minimized the scratches, which it did.

I believe the scratches are part of the refurb process or something, but would really have preferred the seller to have done better QC. I didn�t want to send back another time so I kept the phone. Because of that, I give 3 stars. Good price and responsive seller and Amazon was good to work with, but my wife�s phone from another seller didn�t have the screen scratch issue I did.

Battery life seems good and no other issues with the phone. I feel like a scratched screen is kinda a big deal though since the screen is the phone basically. It also wasn�t a scuff as I could ever so slightly catch a finger nail on it and I tried to rub it off.",Positive,
90,It was my first time buying a phone online. I upgraded from the iphone 7. This product came exactly as advertised and works really well. I was a little skeptical buying it but it works great and i have no problems. The shipping was quick too.,Positive,
91,The phone came i excellent condition looked like it was new 100% battery works great,Positive,
92,"I was very excited and looking forward to receive my new iPhone, but now I�m feeling I should�ve paid the extra $50 to buy a new iPhone from Apple directly. At first glance the phone looks great! Came with a screen protector with no noticeable scratches/damages to the phone physically. When setting up my phone one of the first things I noticed was how loud the sound was, sound quality was off too. I had my audio low and on mute and notification rings were still loud. Then I got my first phone call and that�s I become disappointed. It was difficult to hear and understand the other person the phone, I had to switch to speaker to listen. It sounds staticky like if it weren�t plugged in correctly or if speakers were in the wrong place. I�m afraid to go to the Apple store to get the battery replaced (since the battery arrived at 88% health). I�ve only been playing with phone for 6 hours now and have found questionable thing like the audio issue that have disappointed me in my purchase...",Neutral,
93,"I requested an exchange because the phone I got reset on me a few times while trying to set it up. Like I had to redo adding my wifi and password, all the settings like country, prompts, etc. They made the return process so easy so I�ll give them props for that! Just got the �exchange� item. IT�S THE SAME EXACT PHONE I SENT BACK! I know because I recognize the small set of scuffs in the top right hand corner. They asked if I wanted the same color and I specified if it was available or I�d even take a white if it was a better option. They just replaced the little back sticker that came off when I had to clean it the first time I received it because it arrived dirty( like how phones get when they�ve been on a case for a while and the random dust/gunk that kind of accumulates) and added a fancy gold charging cord instead of the play white one. For paying over $400 for a renewed phone like this one I�d say OVERPRICED. They should base their prices off of how the phone looks and not just charge the same for all phones. I can say I�m disappointed to say the very least. The battery life is 86%. The renewed iPhone 8plus I ordered 2 years ago (from somewhere similar) came at 97% battery life. That�s why I had high hopes it would be fine to order renewed.

Will not order from again when the time comes to get a different phone. I�ve learned my lesson.",Negative,
94,Speakers are blown and very crackly. Cannot hear it is so bad.,Negative,
