UserName,Title,Review,Date
AyonSahaa, LIVELY!,"Watched the IMAX version! Best solo since Iron Man (2008)! I had no expectations of this before. But the movie is much more lively. Enjoyed every moment. And also very engaging from start to finish. A kinda Cute-Action movie with some fun stuff!This is the first movie that focuses more on martial arts than Marvel's superpower thing. Love to see a mix of Marvel's MASTER-LEVEL-CGI with Martial art. Kung-Fu with this kind of visual effect! Marvel nailed it again.I've always loved Marvel's casting. Katy is too perfect for her role. Loved her chemistry with Shaun. Also laughed out loud at her childish stuffs.Just one thing, not a big deal, the action scene of 'Dragon Riding' doesn't fit into the usual Marvel movie. But as Chinese flavor, it is OK. Except for this, the cinematography and VFX are a lot mesmerizing!",27 November 2021
riiircho, Amazing,"Best movie of the year. I waited for that kind of movie the whole year. It has comedy, fantasy, action, it keeps you on your toes, ... just great. Can't wait for part two.",25 November 2021
dasa108, Mediocre film from Marvel,"Let's agree that it is a bad movie from multiple points of view. It depends a lot on the visual effects, its main characters can be funny but not nice, the story does not generate much interest and we have seen the fights many times and in a better way in almost any film produced in Hong Kong, Indonesia or Thailand of the last twenty years. The only thing that saves this film is the karaoke scene that is unexpectedly welcome. The rest is routine, mediocre, tiring and bland.",21 September 2021
jasminn_tan, It was okay...,"I really liked that the actors spoke their native language, Mandarin, because it would've felt too Americanized otherwise. But there was something unfinished about this movie and I'm not sure what it is. The pacing was alright, a little too slow or fast at times, and as far as storylines go, it was not as exciting as I thought it would be. The fight scenes were great though, especially the final grand battle scene.",21 November 2021
raiyans-98227," Fresh Story, Great action scenes","I love all the movies from them but Shang-Chi and The Legend of The Ten Rings is one of my favorite marvel movies, it really managed to make a very nice movie, the story is usually a gorgeous one, the characters are very nice and you become very invested in the movie.I was amazed at what good fight sequences are in the movie like this, the best since The Avengers 2012 and Captain America: The Winter Soldier 2014 maybe even better.The CGI is incredible, I only saw such special effects on Avatar.I have to say that I ran and saw the fight on the bus 5 times, it's awesome ... it manages to give you an energy boost, so cool
The story is extraordinary, Shang-Chi confronts the past he thought he left behind, when his father wants to reunite his lost family.Xu Wenwu played by Tony Leung is such a good villain, you understand why he does this, you empathize with him and although you know that the way he acts is wrong you understand his pain. Besides being a villain he is also my father and everything he wants to release his wife.A very good villain, certainly one of the best villains of this year.This movie blow me away, I love it. Lots of love from Bangladesh 🇧🇩",2 December 2021
tonyk6289, Great movie,I thought it was a great hero movie. It developed the character as well as others and felt like the story was complete. This story was over and now it's time for the next.,26 November 2021
Sir_AmirSyarif, Marks a bland start to the new phase of Marvel Cinematic Universe,"Destin Daniel Cretton's 'Shang-Chi and the Legend of the Ten Rings' marks a bland start to the new phase of Marvel Cinematic Universe. It is a spectacle with regards to action sequence and fighting choreography, but the film misses a solid storyline for an origin story as its titular character lacks personality and does not go through any heroic transformation story arc. Simu Liu has a strong presence as Shang-Chi, yet he is overshadowed by many of his more experienced co-stars.",24 October 2021
gtenalokes, Dumb and Stupid....,"It had potential but marvel has this tendency of degrading everything into mindless comedy...Things just happen, to an extent where Awkwafina is now an avenger...
I'm getting too old for this s#.t..",11 November 2021
0w0," It's very pretty, but the story/plot is mediocre and filled with holes","As far as visuals go, this movie is amazing... like just about as impressive as Dune, it's filled to the brim with eye-candy.The plot/story however is mediocre and filled with plot holes... the characters' actions are often unrealistic and they will often just 'stare in awe' at their friends being killed, instead of doing the realistic thing, and immediately defending their friends... it's something that happens like 5 times and honestly spoils the movie for me.... if characters in a movie don't act or react realistically and stare at something like a braindead zombie (like their friends getting killed right in front of them, whilst they are holding a gun in their freeking hands), then it's just really terrible script/plot writing.Overall, the movie isn't as bad as Ant-Man 2 but it's not far behind. Also, Awkwafina's acting style was already old by the 2nd movie she did... ALL of her characters in movies are the same person, and like I said, it got boring after the 2nd movie. I roll my eyes at everything Awkwafina's character does in the movie.It's a 5/10 movie, not really worth a watch unless you're a real die-hard Marvel fan.",25 December 2021
cc0077, Another great Marvel Movie,"I loved the cast, music, plot, everything. I especially loved Xialing because she was so powerful. Morris was also so so adorable. I really enjoyed all the action, as well as some comedic scenes and I'm so ready for the next Shang-Chi movie!",26 November 2021
mkayseryan, HORRIBLE,"This was so bad , I'm honestly shocked on how lazy the writing is I really am. This was probably the worst movie I've seen in a long time wow. No hate on the actors or even some fight scenes but this was sooooooooo bad.",13 November 2021
planktonrules, A visual feast.,"I am not a big fan of the many, many Marvel films. The only reason I saw this one was that my oldest daughter insisted I watch it....and overall I was impressed by the movie, though I think it was enjoyable more for the insane eye candy than the story itself.I could talk about the plot but just noticed that there are over 2000 reviews for this film. So, I'll just say that it looked great and would have been great to have seen it on the big screen. The story itself, though enjoyable, wasn't one that particularly grabbed me or impacted on me...possibly because it was so violent and frenetic that the film, as a consequence, lacked intimacy and humanity.",1 December 2021
jigsawjoey, This like anime but love action which is great,This film is a love letter to Asia. The creatures the atmosphere the fights. They really took their time with this. Many people complain about final fight but if you watch anime or know of anime you should know better.,21 November 2021
catalinmarian-13885, So good!!,"The best marvel movie after Endgame. The story is a bit cliché but the rest is absolutely amazing. The fight scenes are the best in the MCU in my opinion. Simu Liu as Shang-Chi is perfectly chosen and all the other characters are nice and the all the actors do a good job. Act 3 is on another level that we haven't seen before in MCU and the visual effects are spectacular, by far one of the best origin stories from Marvel!",5 December 2021
ronin-88, Better than expected!,"The buzz was high on this film but I kept my expectations modest. It started off as a charming story, well told and authentic. The action, and the acting were fine. Then the action dipped a little in the middle. But, once Shang Chi and his gang escaped the stronghold of the 10 rings, the movie really took off. It was a magnificent freaking story. The legend, the fighting, the story, and the tremendous acting were all there. This is as good an MCU movie as there ever was. I was totally blown away by it. It was a great idea to have top actors in the movie and let them do their thing. The leads Simu Liu and Akwafina are solid but the burden of carrying the movie isn't entirely placed on their shoulders. Their parents and auntie (Tony Leung, Fala Chen, and Michelle Yeoh) have to do some of the dramatic heavy lifting.",3 December 2021
jamesrupert2014, More of the same from the hyperactive Marvell/Disney CGI-verse,"Shang-Chi (Simu Liu) discovers that his all-powerful and millennium-old father is about to launch an attack against the magical village where Shang-Chi's mother was born in the likely mistaken belief that his wife is not dead but is rather being held captive (there is more to the plot than one sentence can sum up but what does it matter... the story is just scaffolding for the special effects). Much fighting ensues but fortunately everyone eventually learns how to 'get along' when faced with a real threat. You have seen it all before: physics-defying martial arts, monsters who look like the recently swallowed strings of LED Christmas lights, conflicted heroes with wise-cracking 'comic relief' sidekicks (an awful Aquafina and an even more awful Ben Kingsley), giant melees featuring a variety of glowing weapons (but no blood), hyper-kinetic and hyper-implausible car/motorcycle chases, and a lot of clichéd wisecracks, tough-guy dialogue, poseur slo-mo, and heroic vogueing (we're treated to the venerable three-point power landing/slide a number of times). The only novel thing the film has to offer is the excellent rendering of mythological beasts from Chinese culture; otherwise, it's an overly-long (132 minutes, which is 120 minutes too much Aquafina), derivative, repetitive, and ultimately boring entry in the bloated, jejune Micky Mouse-Marvel superhero franchise.",14 February 2022
darth_trek, Simu Liu Brought It,"Really entertaining movie. Actors were great Simu Liu brought it big time he is excellent as the main character. Awkwafina is hilarious and I wish she had more screen time. As far as Marvel movies goes, it's not the best one but still very good.",23 November 2021
m-ramanan, Worth a watch with family,"RATED 8/10
Language: English
Source: Hotstar
RECOMMENDEDThe story and making is worth to watch in big screen with good sound system. The first half is filled with great actions and funny moments and it get into serious mode in the second half.The second half is more traditional and sentimental....the decent story and colourful visual makes this so grand...
Good movie to watch with family.",26 November 2021
zadeereviews," Soulless movie, even a soul sucking monster couldn't give this a soul",This is the worst marvel movie I have seen to date.after seeing the movie I was honestly surprised by all the high ratings. Did we watch the same thing? The movie is without a soul. Characters aren't build up enough even with a 2 hour run time. The movie literally got nothing to do with the ten rings. Movie became Godzilla vs King Kong at the end. Waste of 2 hours. Honestly clueless why people high praised for this movie. What a waste of opportunity to create a wonderful and authentic world for Asian marvel universe.,13 November 2021
vluckylkv, This is highly overrated,"Boring and poor storyline.why there have to be a dragon if it's a Asian origin movie, this is such a stereotype. This is marvel's sad attempt to cover all the Asian market. Avoid this.",15 November 2021
mhasnainzia7, SATISFIES THE HYPE!!!,"What an amazing movie by Marvel Studios! I was hyped for the movie since the first teaser and the movie actually exceedes my expectations. Marvel has been showing its MARVELous magic since Ironman, and Shang-Chi is another diamond in the crown. After the end of MCU's phase 3, fans were eagerly waiting for a big movie. Black Widow was not up to the mark and Eternals also disappointed majority of fans, but Chang-Chi filled their gap. The action scenes were fresh and engaging. Martial arts combined with chinese mythological powers makes these action scenes more interesting. Character arc and story building were satisfying. They were not rushed or slow paced. Whole movie was engaging till the end. I would love to see another movie of this franchise.",22 November 2021
jay_amer, Wow!,"From Beginning to End I enjoyed this movie. It is well done, The characters are well written and honestly, I would love to see more Shang Chi and other characters in future marvel Movies and TV Shows. I love how Phase 4 is going so far, I can not wait to see more of the Expanding Marvel Cinematic Universe in Movies and TV Shows. Overall, Fantastic Film!",27 November 2021
meldavies74, Get some,"If you only ever watched one movie at the cinema in your entire span of days, make it this phenomenal sight, sound and super spectacular sensory sensation. Smashes everything out of the park! And some.",22 November 2021
surajbangera-61935, Kickass movie,"Entertaining movie ..worth it ..the bus scene ..oh boy ..on loop ..overall visual treat , neat cgi and enjoyable marvel movie ..you will love it ..don't miss it.",1 December 2021
emmamills-20862, Brilliant,I absolutely loved this film. It's packed with action and really good martial arts. The film is really funny. It's got a great story line. The acting is fab.,3 December 2021
view_and_review, Ten Years too Late,"I've said this before about Marvel movies: they are a victim of their own success. ""Shang-Chi"" had to follow up a decade and a half of quality MCU movies, so the same movie that would've been a smash 10 years ago isn't viewed quite the same today. The movie was good, but it failed to really separate itself.""The Legend of Ten Rings"" as a title already sounds too much like LOTR. And in fact it was something like it in that he with the rings had the power. Xu Wenwu (Tony Leung) had the ten rings which gave him near omnipotence. With the ten rings he could defeat entire armies and live forever. He decided to use the rings to become a tyrant.He was willing to put his rings aside and grow old for the love of his life, a woman he found after living 1000 years. I thought it was a bit strange that it took the man 1000 years to find his true love, but I didn't dwell on it.Stranger than him taking a thousand years to find his true love was the woman who fell in love with him. She lived in a secret magical village in Macao that was totally isolated from the rest of the world. She was a gentle benign character who had powers herself and was able to defeat Wenwu when he came to essentially conquer her village. Somehow, through their Crouching Tiger, Hidden Dragon-esque battle they fell in love. Maybe that makes sense for him being that he finally found someone who could defeat him, but it didn't make sense for this nearly pure woman to fall for a man with a 1000 year history of tyranny.Still, they wed, forsook their powers and started a family.Their family would be unceremoniously destroyed when an old foe of Wenwu--a vicious gang--came by their house to get their pound of flesh and killed Wenwu's wife, Li (Fala Chen). Li could've attempted to barter with them for some sort of material exchange for their past losses, but instead she immediately decided she'd try to fight the entire gang and lost her life in the process. That would cause Wenwu to don the ten rings again and return to tyranny.So, if you're keeping score on Wenwu's wife, 1.) she was smitten with a man who came to destroy her village and 2.) she chose to fight an entire gang with no powers to speak of and with no attempts to negotiate.I recognize that it was a plot device to advance the plot, but it could've been done a lot better and with more tact. Her character never struck me as someone impulsive and/or not able to judge character yet she exhibited both flaws.Most of what I've covered was garnered throughout the movie via flashbacks. The real main character was Saun aka Shang-Chi (Simu Liu). He was the son of Wenwu and Li. Years later we see an adult Saun. He lives in SF and is a valet. He is violently thrust back into the life he ran away from when his father's goons came for the pendant around his neck given to him by his mother. It was at this point we learned his backstory, of which I've given some already. We find out he also has a sister, Xialing (Meng'er Zhang), who Disney not so subtly informed us she had to train herself to become a fierce warrior because of her gender. The two of them had been split up for close to twenty years when Saun ran away after being trained to be an assassin by his father. He was fourteen at the time and she was ten when he promised her he'd be back. He never came back and when they met again in Macao as adults she held the same ten-year-old bitterness against him for running away as though a fourteen-year-old should've been more reliable. She greeted him with a butt-kicking that was twenty years in the making. It's clear that it never crossed her mind that he may have been killed, or maybe she would've considered his death a betrayal as well. Either way it was a completely childish way to handle reuniting with your long lost brother.The two of them would join forces along with Saun's friend Katy (Awkwafina) and really quickly to stop their father. He was going to use the ten rings to breach a portal to another dimension which contained some soul-sucking demons.The introduction of demons to the movie did offer some excitement. It upped the stakes of everyone involved and thrust another Marvel character into the role of saving the world.Saun would save the world with the help of his friends and family. Some would die, but the most important characters lived. I was somewhat satisfied with the movie. The acting was commendable and Awkwafina was good as the comic relief. ""Shang-Chi"" may just be the placement of a singular brick to build to something bigger, I just hope what Marvel is building towards is worth it.",14 September 2021
Cheesecake3001, Entertaining action movie with great special effects.,"This movie is to me a pleasant surprise. The father-son storyline was touching. The special effects are excellent. The fight scenes are *chef's kiss * (especially the one in the bus, it reminded me of Jackie Chan).Morris is cute. This film was made with love, great care and enthusiasm and it shows.",24 November 2021
Zi_Reviews_Movies, It has a ring to it...,"Everybody around me raved about this movie, but I watched it very late and now I'm slightly disappointed. It didn't live up to all the hype and all the praise but seemed very much like any other Marvel movie. But what I am truly impressed with, was the blend of martial arts in the MCU, it fit so perfectly. This wasn't just another movie with a sprinkle of Asian characters for representation, no this actually tells their story, speaks their language, and depicts the details. The fight scenes are fun, there is some light comedy, no gore, and the CGI was gooooood. The backstory and narration made the fantasy seem real.It pulled at my heartstrings when it connected to Iron Man, I did not see that coming though it certainly made up for my disappointment with Awkwafina (Katy). The movie had a lot of slow parts and parts where I was losing interest and seemed somewhat like a good vs evil movie? Come to think of it, it felt like a Disney movie trying to teach me about Asian cultures and the inherent good in the universe.I'll agree it was dramatic and stays with you as 20 minutes post the movie, I was trying to channel the universe with open palms and gentle hand motions. Not something I do every day.",21 November 2021
kingx-90803, This Movie was Amazing. Dont get why so much hate,"I thought this movie would suck honestly when i heard it was being made, i thought shang chi is a terrible character with no powers and then i always dread hollywood making asian movies lol.Im chinese by the way and when i finally watched it i was blown away!!! This was best movie of the year, maybe one of the best marvel movies that didnt involve a blockbuster teamup like avengers infinity wars and end game.So action packed, excellent script, insane graphic visuals, insane fighting choreography, alot of character depth and explorations. Well made indeed! This is the Black panther movie for all asians! I say all asians because chinese culture has affected all asian countries in the last 3000 years.Dont let the reviews bother you, alot of these people dont know what their talking about honestly. Seen 1 person mention theirs no villain But this movie takes villain into an indepth look. For every villain theirs a drive & purpose to why they do things and for this villain it involved love. Some may not be able to comprehend this as they view villains stone cold killers maybe or just destructive no emotion type of baddies.They wrote the script for this villain amazingly considering he was originally the Mandarin (a very stereotypical villain hated by asians). The clever way they were able to remove that racist heritage to this character was flawless, funny and amazing.I mean cmon it was hilarious the way the villain described how his name came.Some even complained they got lost during the whole movie which i found it hard to believe. I mean you must have Low IQ lmao go not understand n follow through the movie. From beginning to end it was a step through step process. Maybe they could have explored more about the magical lands but whois to say they wont in future movies?? All u needed to know was in the movie, and any other questions can be saved for the future just as most marvel movies always do.The fight scenes on the Bus were off the charts and so was the rest of it. I can see theirs many chinese people hating on this film cuz they feel the fighting style is too like Chinese movies fighting style But they dont get it. What made this movie very good was the amazing way they blended chinese and western movies together. The fight scenes was neither just chinese nor was it western, it was a perfect blend.This stories villajn was writting the way Thanos was but better. Thanos was not just crazy mad villain, he had purpose and feelings and goals that involved not just world domination or killing. Same with this villain, Tony Leung may have had not many lines in this movie but the way he carried his presence and the acting was outstanding.I have watched tony leung in hong kong movies for 30 years now and his acting is impeccable. He brought life to the Villain he played, and gave it a more down to earth and also relatable character portrayal. Anyone in his position in the movie would have had a chance to go his path, i know many might disagree but it was so easy to see how he deviated from the good path he took for some time back to evil. You just need to understand the character and his reasons and experiences.The main character Sima Liu i mean was pretty good choice, their were some scenes for fighting that looked to be him doing the stunts and it was amazing.I seen some complain that the movie should have been just mandarin but thats clearly a comment made by someone from China or mandarin speaking. To them they live in the old age where black is black, white is white, theirs no grey.Only way asians can move forward in hollywood is by a blend of both west n east.Maybe some people might hate it cause its so much asian characters n that its got mandarin language in it, then u got others who hate it cuz theirs english in it. Both groups need to grow up and live in the year 2021 cuz this movie was so successful because of the mixture of both cultures in 1.If this movie was just another straight chinese martial arts flick it would certainly not be successful in the west. This blend is what makes it open up to other races to watch and enjoy.The special effects of the movie was off the charts! Amazing!! The fighting too!This movie is the Black panther for asians. Its the opening door for asians to be introduced more commonly.If anyone in or from China reads this i think u should think hard to yourself, Do you want to see more chinese movies succeed in the future?? Cuz if so then u should ccheer this movie on cause its gonna open doors for chinese actors n actresses.China blocking this movie from playing makes no sense as the way for China to spread love is share their culture with all especially after the pandemic fiasco. This movie opens the doors of chinese culture up to westerners.So support this movie! And stop bashing it for unfounded selfish reasons.",2 December 2021
boblipton, Next Phase,"It was an okay movie. Simu Liu is the son of the seemingly immortal master of the Ten Rings --always good to see Tony Leung, and I hope he soaked Disney --who winds up opposing his dad, and Awkwafina is his slacker sort-of girlfriend. They are fine in the leads, as is Meng'er Zhang as his sister, and Michelle Yeoh as their aunt -- always good to see her, and I hope she soaked Disney too.I have grown increasingly fond of martial arts films over the last couple of decades, and the decline of the movie musical is the reason why. They don't make movies like that any more, and when they try, they're often embarrassing. People don't like the unreality of people bursting out into song, or expressing their emotions through dance. No, they prefer the solid commonplace of people floating through space to kick each other in the head. To me, the fight choreography is its own dance, and the fight between Leung and Fala Chen when they meet and before they fall in love is a challenge dance as graceful as any between Astaire and Rogers.There are problems aplenty with this film. There's an immense amount of exposition, starting off with twenty minutes of it in Chinese. I'm not sure why Ben Kingsley as the fake 'Mandarin' from IRON MAN 3 is present except for a certain remnant of star power and connecting this to the rest of the MCU. Still, with my expectations not set particularly high, I had a good time.",11 September 2021
chunkylefunga, A miss in the MCU.,"Hollywood trying to be too woke about being Chinese.Always hate it when they make a villain not really a villain as to not offend anyone. Shang Chi's father is supposed to be a pure villain, the mother storyline took away a lot from the real storyline.Awkwafina's character becoming a boss archer after one day of training was equally ridiculous.Hopefully if a sequel is made it will be darker, though I'll admit the Mandarin was a funny touch.",14 November 2021
clarkmick33, A weird mix of Marvel and Crouching Tiger Hidden Dragon,"As far as Marvel being a fantasy film they generally like to be grounded in reality of history of the world and the current setting... but this one is really really going into the fantasy setting of parallel universes of Chinese myth. So for me it kinda felt totally fantastical and not really connected to any of the other Marvel universe.The fight and chorography of the action scenes is impressive and entertaining and if a movie could be watched on that basis alone then this would do the job - unfortunately for Shang Chi you actually need a compelling story with interesting characters.... but what we got was the MASSIVELY overdone .. evil father and son who seeks redemption arc... other supporting characters were pretty much all one dimensional - either good or bad, black or white.I also felt that Samuel Liu was miscast in the main role... If Donnie Yen was younger he probably would have done a better job. Samuel just does not have the screen presence.Its entertaining for the kids but I think the adults will be bored.",13 November 2021
